occupation,n
letter courrier for canada post,1
librarian,1
licensed practical nurse,1
lobeiste,1
logger,1
logging,1
long distance truck driver,1
lumber industry - mill worker,1
mã©canicien,1
machine operator,1
machinist,1
magasignier/ventes internes,1
mail carrier,1
maintenance man in a flour manufacturer,1
maintenance superintendent - sawmill,1
maintenance supervisor,1
management - engineering,1
management in retail,1
"management, business owner.",1
manager at a cemetary + night security,1
manager at a financial services company.,1
manager at air canada,1
manager in retail store,1
manager insurance industry,1
manager of a medical clinic,1
manager of operations,1
"manager, data management company",1
manger of pharmaceutical company,1
manger residential support,1
manoeuvre spã©sialisã©,1
marchandiseur,1
marketing,1
marketing and communications,1
marketing director,1
marketing leader,1
marketing manager,1
massage therapist,1
massothã©rapeute,1
materials handler,1
md,1
mecanicien,1
mecanicien automobile,1
"mecanicien,",1
mecanien industriel construction,1
mechanical designer engineering,1
mechanical technician,1
medecin,1
medical administrator,1
medical device sales,1
medical lad tech,1
medical office assistant,1
medical office manager,1
medical radiation technologist,1
medical sales,1
medical secretary,1
medical technician,1
member of civil service,1
mental healthcare program supervisor,1
merchandiser,1
merchandiser in retail,1
message therapist,1
metallurgist,1
middle management,1
mill operator,1
mill worker,1
milwright,1
miner,1
modular technician,1
mortgage broker,1
municipal government worker,1
municipal govnt worker,1
"music teacher, office administrator",1
music therapist,1
musician/ reator,1
nã©gociateur sur les marchã©s financiers,1
national account manager in sales,1
non-profit lobbyist,1
nurse practionner,1
nurse rn,1
occupational health and safety,1
occupational health and safety team leader,1
occupational therapist,1
ocean technician,1
office admin,1
office administrator,1
office managwr,1
officemanager/bookkeeper,1
offshore crane operator,1
oil field worker,1
oilfield operator,1
opã©rateur,1
opã©rateur machinerie lourde,1
operateur dã¨extrudeuse,1
"operateur de machine fixe, decoupage au laser",1
operational training specialist,1
operations cordinator,1
operations management,1
opticienne,1
ordained minister of evangelical lutheran church in canada,1
organic farmer,1
ouvrier de production dans une usine de maison prã©-fabriquã©e,1
owner,1
packaging technician,1
painter / artist,1
painting,1
palfrenier,1
papetier,1
paramã©dic,1
part time office worker,1
"part time student, part time sales associate",1
parts advisor for car dealership,1
payment officer,1
payroll administrator,1
peace officer - rcmp,1
peintre,1
pharmacist,1
photographe,1
physiotherapist,1
physiotherapy assistant,1
physique,1
piper fitter super attendant,1
plane operator,1
planificateur de rã©seaux extã©rieurs en tã©lã©communication,1
planning and project manager,1
plant implementation manager,1
plombier,1
plumber,1
plumber - self employed,1
plumber pipe fitter,1
police,1
policier ã°å¸ââ®,1
"policy adviser, public administration",1
policy analyst,1
porfessor associates = university,1
portfolio manager,1
post secondary education,1
postal clerk,1
potato farmer,1
pour le mã©nage,1
power engineer,1
power lineman,1
prã©posã© aux bã©nificiaires,1
prã©posã© en entretien mã©nager,1
prã©posã©e aux bã©nã©ficiaires,1
prã©posã©e aux personnes agã©es,1
prã©pose ãâ  l'entretien mã©nager,1
pre-school teacher,1
preneur de son,1
preposã© d'entretien,1
preposã©e aux beneficiaires,1
prepose hygiene salubrite hopital,1
president and coo,1
primary support staff with community living,1
private contractor,1
process safety manager,1
process server deliver document for the court,1
procurement sales,1
product manager,1
producteur agricole,1
production manager,1
professeur,1
professeur d'universitã©,1
professeure universitã©,1
professional accountant,1
professional driver,1
professional engineer,1
professional services,1
professionnel,1
professsional,1
program assistant,1
program coordinator,1
program coordinator - refugee/immigration,1
program facilitator at a family resource centre,1
programmer,1
programmeur analyste en gã©omatique,1
programmeur machine outils,1
project coordinator,1
project coordinator for consulting firm,1
property manager,1
propriã©taire d'entreprise,1
provincial govt,1
psychologue en pratique privã©e,1
"psychotherapist, high school teacher",1
public,1
public sector administration,1
public servant (provincial),1
publicitaire,1
puppetier - do puppet shows,1
quality assurance manager,1
quality laboratory affairs manager,1
r&d - software development engineer,1
radio technologist,1
radiology technologist,1
rancher,1
rcaf,1
rcmp,1
real estate,1
real estate agent,1
real estate assessor,1
real estate broker,1
real estate developer,1
real estate development,1
real estate development manager,1
real estate sales,1
real estate sales rep.,1
reciver,1
refrigeration worker,1
regional manager,1
regional sales manager,1
registered nurse and a oyster-fisherman as well,1
registered practical nurse,1
registrer,1
remote survey interviewer,1
renovateur apres sinistre,1
report writer,1
reprã©sentant,1
reprã©sentant d'agence,1
reprã©sentant medical,1
"reprã©sentante pour une compagnie d,assurance",1
reprã©sentante service client,1
research assistant,1
resident attendant,1
resident physician,1
residential support worker,1
resource management,1
respiratory therapist,1
responsable de service de garde en milieu familial subventionnã©,1
ressource humaine,1
ressources humaines,1
restoration sales specialist,1
retail - warehouse,1
retail and student,1
retail clerk,1
retail management,1
retail manager,1
retail sales,1
retail sales manager,1
retail store manager,1
retial,1
retired and investor,1
retired and working,1
retired builder,1
"retired but currently working full time in customer service, home improvement and telecommunications",1
retired but teaching part time.,1
retired contractor,1
retired educator,1
